Modelis,Mėnesio kaina,Kaina
Samsung Galaxy S23,"33,30 €/mėn.",799 €
Samsung Galaxy S23 Ultra,"50,80 €/mėn.",1 219 €
Samsung Galaxy Flip4 5G,"29,55 €/mėn.",709 €
Samsung Galaxy Flip4 Bespoke Edition,"32,05 €/mėn.",769 €
Samsung Galaxy S23+,"42,05 €/mėn.",1 009 €
Samsung Galaxy A34 5G,"14,13 €/mėn.",339 €
Samsung Galaxy A54 5G,"17,46 €/mėn.",419 €
Xiaomi 13 Lite,"20,80 €/mėn.",499 €
Xiaomi Redmi Note 12,"10,38 €/mėn.",249 €
Xiaomi Redmi Note 12 Pro 5G,"15,38 €/mėn.",369 €
Xiaomi Redmi 12C,"6,63 €/mėn.",159 €
POCO X5 Pro,"14,55 €/mėn.",349 €
Nothing Phone 1,"17,46 €/mėn.",419 €
OnePlus 11,"36,63 €/mėn.",879 €
OnePlus Nord CE2 Lite,"10,80 €/mėn.",259 €
Apple iPhone 14,"34,96 €/mėn.",839 €
Apple iPhone 14 Yellow (Geltonas),"34,96 €/mėn.",839 €
Apple iPhone 14 Plus,"41,21 €/mėn.",989 €
Apple iPhone 14 Plus Yellow (Geltonas),"41,21 €/mėn.",989 €
Apple iPhone 14 Pro,"47,88 €/mėn.",1 149 €
Apple iPhone 14 Pro Max,"54,13 €/mėn.",1 299 €
Apple iPhone 13,"34,13 €/mėn.",819 €
Apple iPhone 13 mini,"30,38 €/mėn.",729 €
Xiaomi 13,"41,63 €/mėn.",999 €
Xiaomi Redmi Note 11S,"8,71 €/mėn.",209 €
Xiaomi Redmi Note 11,"7,88 €/mėn.",189 €
Samsung Galaxy S21 FE,"25,38 €/mėn.",609 €
Samsung Galaxy S22,"30,38 €/mėn.",729 €
Samsung Galaxy S22 Ultra,"44,13 €/mėn.",1 059 €
Samsung Galaxy Fold4 5G,"69,55 €/mėn.",1 669 €
Apple iPhone 11,"22,05 €/mėn.",529 €
Apple iPhone 12,"31,21 €/mėn.",749 €
Samsung Galaxy A23 5G,"8,30 €/mėn.",199 €
Samsung Galaxy A53 5G,"14,13 €/mėn.",339 €
Samsung Galaxy A13 (A137) 32GB,"4,96 €/mėn.",119 €
Samsung Galaxy A13 (A137) 128GB,"6,63 €/mėn.",159 €
Xiaomi 12 Lite,"16,63 €/mėn.",399 €
Xiaomi 12T,"20,80 €/mėn.",499 €
Xiaomi 12T Pro,"30,38 €/mėn.",729 €
Xiaomi Redmi Note 11 Pro,"11,21 €/mėn.",269 €
Xiaomi Redmi Note 11 Pro+,"13,71 €/mėn.",329 €
Xiaomi 12,"21,21 €/mėn.",509 €
Xiaomi Redmi 10 5G,"8,30 €/mėn.",199 €
Xiaomi POCO C40,"6,63 €/mėn.",159 €
OnePlus 10T,"26,21 €/mėn.",629 €
Sony Xperia 1 IV,"45,80 €/mėn.",1 099 €
Sony Xperia 5 IV,"37,46 €/mėn.",899 €
Sony Xperia 10 IV,"14,55 €/mėn.",349 €
Sony Xperia PRO-I,"54,13 €/mėn.",1 299 €
OnePlus 10 Pro,"41,63 €/mėn.",999 €
OnePlus Nord 2T 5G,"15,38 €/mėn.",369 €
Xiaomi POCO F4,"15,38 €/mėn.",369 €
Samsung Galaxy A13 5G,"9,13 €/mėn.",219 €
Xiaomi POCO X4 GT,"13,71 €/mėn.",329 €
Asus ROG Phone 6,"41,63 €/mėn.",999 €
Apple iPhone 12 mini,"24,96 €/mėn.",599 €
Xiaomi POCO X4 Pro 5G,"11,21 €/mėn.",269 €
Sony Xperia 1 III,"33,30 €/mėn.",799 €
Xiaomi Redmi 10C,"7,05 €/mėn.",169 €
Nokia 105 4G,"1,38 €/mėn.",33 €
CAT® B40,"3,30 €/mėn.",79 €
Nokia G10,"5,38 €/mėn.",129 €
Nokia 225 4G (2020),"2,46 €/mėn.",59 €
Nokia 8210,"2,88 €/mėn.",69 €
Nokia 2660 Flip,"3,71 €/mėn.",89 €
Xiaomi Redmi 9C,"4,13 €/mėn.",99 €
Xiaomi Redmi 9A,"4,55 €/mėn.",109 €
Samsung Galaxy A14 4G,"8,30 €/mėn.",199 €
CAT® S42 H+,"9,13 €/mėn.",219 €
Samsung Galaxy A14 5G,"9,55 €/mėn.",229 €
Xiaomi POCO M4 Pro,"9,55 €/mėn.",229 €
Xiaomi POCO M5s,"9,55 €/mėn.",229 €
Samsung Galaxy XCover 5,"10,38 €/mėn.",249 €
Apple iPhone SE,"12,46 €/mėn.",299 €
Samsung Galaxy Xcover Pro,"17,46 €/mėn.",419 €
Apple iPhone SE (2022),"23,30 €/mėn.",559 €
Samsung Galaxy Xcover6 Pro,"25,38 €/mėn.",609 €
CAT® S62 Pro,"25,80 €/mėn.",619 €
Samsung Galaxy S21 Ultra,"49,55 €/mėn.",1 189 €
Sony Xperia 5 III,"20,80 €/mėn.",499 €
Samsung Galaxy S21,"29,13 €/mėn.",699 €
Samsung Galaxy S20 FE 5G,"20,80 €/mėn.",499 €
OnePlus 8T,"16,63 €/mėn.",399 €
Xiaomi POCO F4 GT,"21,63 €/mėn.",519 €
Samsung Galaxy S22+,"35,38 €/mėn.",849 €
Samsung Galaxy A33,"12,05 €/mėn.",289 €
Samsung Galaxy A22 64GB 5G,"6,21 €/mėn.",149 €
Sony Xperia 10 III,"8,30 €/mėn.",199 €
Xiaomi POCO M4 Pro 5G,"8,30 €/mėn.",199 €
OnePlus Nord 2 5G,"12,46 €/mėn.",299 €
